Manufacturer,Model,Year,Fuel Type,Body Type,Seating Capacity,Ground Clearance,Ground Clearance (range),Average Price (0-20k km),Average Price (20k-50k km),Average Price (50k-100k km),Average Price (100k+ km)
BYD,sealion 6,2025,Hybrid,suv,5,,,23768000.0,,,
Chery,qq,2025,Petrol,hatchback,4,,,2000000.0,,1690000.0,1650000.0
Chery,qq,2011,Petrol,hatchback,4,,,2000000.0,,1690000.0,1650000.0
Chery,qq,2007,Petrol,hatchback,4,,,2000000.0,,1690000.0,1650000.0
Chery,qq 308,2006,Petrol,hatchback,5,,,,,1275000.0,
Chery,qq ke,2006,Petrol,hatchback,4,,,,,1958000.0,
Chery,tiggo 4 pro,2024,Petrol,suv,5,,,10700000.0,,,
Chevrolet,cruze,2004,Petrol,hatchback,5,,,,,,4325000.0
DFSK,580,2021,Petrol,suv,7,,,,10000000.0,9400000.0,
DFSK,glory,2023,Petrol,suv,7,,,10400000.0,10350000.0,8800000.0,
DFSK,glory,2022,Petrol,suv,7,,,10400000.0,10350000.0,8800000.0,
DFSK,glory,2021,Petrol,suv,7,,,10400000.0,10350000.0,8800000.0,
DFSK,glory,2016,Diesel,suv,7,,,,,5450000.0,
DFSK,glory 330,2021,Diesel,suv,7,,,5650000.0,5790000.0,5762500.0,
DFSK,glory 330,2016,Diesel,suv,7,,,5650000.0,5790000.0,5762500.0,
DFSK,glory 330 station wagon,2016,Diesel,suv,7,,,,,,4800000.0
DFSK,glory 330 tdi,2021,Diesel,suv,7,,,,,63500000.0,
DFSK,glory 580,2022,Petrol,suv,7,,,,10500000.0,9400000.0,
DFSK,glory 580,2021,Petrol,suv,7,,,,10500000.0,9400000.0,
DFSK,glory 580 2023,2022,Petrol,suv,7,,,,9700000.0,,
DFSK,glory 580 owener,2019,Petrol,suv,7,,,,,9190000.0,
DFSK,glory i-auto,2024,Petrol,suv,7,,,12000000.0,10900000.0,10687500.0,
DFSK,glory i-auto,2023,Petrol,suv,7,,,13500000.0,11150000.0,,
DFSK,glory i-auto,2022,Petrol,suv,7,,,,12600000.0,,
DFSK,glory i-auto,2021,Petrol,suv,7,,,,11400000.0,,
DFSK,glory vt5,2022,Petrol,suv,7,,,10050000.0,,,
Daihatsu,copen robe,2016,Petrol,,,,,,6500000.0,,
Daihatsu,mira,2024,Petrol,hatchback,4,,,7512500.0,,5895000.0,5800000.0
Daihatsu,mira,2023,Petrol,hatchback,4,,,7512500.0,,5895000.0,5800000.0
Daihatsu,mira,2016,Petrol,hatchback,4,,,7512500.0,,5895000.0,5800000.0
Daihatsu,mira,2015,Petrol,hatchback,4,,,7512500.0,,5895000.0,5800000.0
Daihatsu,mira es,2023,Petrol,hatchback,4,,,7125000.0,,,
Daihatsu,mira es,2018,Petrol,hatchback,4,,,,,6350000.0,
Daihatsu,mira es g,2025,Petrol,hatchback,4,,,7950000.0,,,
Daihatsu,mira es l grade,2023,Petrol,hatchback,4,,,6850000.0,,,
Daihatsu,mira es l grade safety,2025,Petrol,hatchback,4,,,6995000.0,,,
Daihatsu,mira es l grade safety,2024,Petrol,hatchback,4,,,6990000.0,,,
Daihatsu,mira es l grade safety,2023,Petrol,hatchback,4,,,6990000.0,,,
Daihatsu,mira es l grade safety,2022,Petrol,hatchback,4,,,7290000.0,,,
Daihatsu,mira es s limited,2024,Petrol,hatchback,4,,,7890000.0,,,
Daihatsu,mira es safety,2025,Petrol,hatchback,4,,,7310000.0,,,
Daihatsu,mira es safety,2024,Petrol,hatchback,4,,,7310000.0,,,
Daihatsu,mira es safety,2023,Petrol,hatchback,4,,,7310000.0,,,
Daihatsu,mira es x limited,2024,Petrol,hatchback,4,,,7575000.0,,,
Daihatsu,mira g grade,2025,Petrol,hatchback,4,,,7200000.0,,,
Daihatsu,mira g limited sa3,2023,Petrol,hatchback,4,,,7975000.0,,,
Daihatsu,mira l grade,2025,Petrol,hatchback,4,,,6979286.0,6650000.0,,
Daihatsu,mira l grade,2024,Petrol,hatchback,4,,,6979286.0,6650000.0,,
Daihatsu,mira l grade,2023,Petrol,hatchback,4,,,6979286.0,6650000.0,,
Daihatsu,mira l grade safety,2024,Petrol,hatchback,4,,,7390000.0,,,
Daihatsu,mira l limited,2025,Petrol,hatchback,4,,,7500000.0,,,
Daihatsu,mira l sa3,2024,Petrol,hatchback,4,,,6700000.0,,,
Daihatsu,mira l sa3,2023,Petrol,hatchback,4,,,6890000.0,,,
Daihatsu,mira l sa3 grade,2024,Petrol,hatchback,4,,,7190000.0,,,
Daihatsu,mira l sa3 safety,2024,Petrol,hatchback,4,,,7150000.0,,,
Daihatsu,mira l safety,2024,Petrol,hatchback,4,,,7100000.0,,,
Daihatsu,mira l safety,2023,Petrol,hatchback,4,,,6975000.0,,,
Daihatsu,mira la300,2016,Petrol,hatchback,4,,,,,,6190000.0
Daihatsu,mira la350 x grade,2018,Hybrid,hatchback,4,,,,,,6180000.0
Daihatsu,mira x,2023,Petrol,hatchback,4,,,7435000.0,,,
Daihatsu,mira x limited,2025,Petrol,hatchback,4,,,7288750.0,,,
Daihatsu,mira x limited,2024,Petrol,hatchback,4,,,7200000.0,,,
Daihatsu,mira x limited,2023,Petrol,hatchback,4,,,7288750.0,,,
Daihatsu,mira x limited,2022,Petrol,hatchback,4,,,7288750.0,,,
Daihatsu,mira x limited sa3,2024,Petrol,hatchback,4,,,7150000.0,,,
Daihatsu,mira x ltd,2024,Petrol,hatchback,4,,,7150000.0,,,
Daihatsu,move,2019,Petrol,hatchback,4,,,,6975000.0,,
Daihatsu,move custom,2023,Petrol,hatchback,4,,,9475000.0,,,
Daihatsu,move l,2023,Petrol,hatchback,4,,,7600000.0,,,
Daihatsu,move l grade,2023,Petrol,hatchback,4,,,6950000.0,,,
Daihatsu,move wagon x,2023,Petrol,hatchback,4,,,8675000.0,,,
Daihatsu,move x limited,2023,Petrol,hatchback,4,,,,8100000.0,,
Daihatsu,rocky,2025,Hybrid,suv,5,,,15600000.0,,,
Daihatsu,rocky,2023,Petrol,suv,5,,,13790000.0,,,
Daihatsu,rocky,2022,Hybrid,suv,5,,,14375000.0,13933333.0,,
Daihatsu,rocky e-smart,2023,Hybrid,suv,5,,,15200000.0,,,
Daihatsu,rocky g chrome,2023,Petrol,suv,5,,,8950000.0,,,
Daihatsu,rocky g premium,2025,Hybrid,suv,5,,,14750000.0,,,
Daihatsu,rocky g premium,2024,Hybrid,suv,5,,,15250000.0,,,
Daihatsu,rocky g premium,2023,Hybrid,suv,5,,,14750000.0,,,
