Manufacturer,Model,Fuel Type,Body Type,Seating Capacity,Ground Clearance (range),Body Type 1 (sedan),Body Type 2 (hatchback),Body Type 3 (suv),Body Type 4 (mpv),Body Type 5 (pickup),Body Type 6 (coupe),Body Type 7 (convertible),Body Type 8 (wagon),Body Type 9 (van),Body Type 10 (crossover),Body Type 11 (kei / microvan),Body Type 12 (roadster),Body Type 13 (other),Body Type 14 (liftback),Body Type 15 (mpv / minivan),City/Urban,Suburban/Normal,Mid Off-Road,Off-Road/Hilly Terrain,Year
Daihatsu,mira la300,Petrol,hatchback,4,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2016
Daihatsu,mira la350,Hybrid,hatchback,4,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2018
Daihatsu,mira x,Petrol,hatchback,4,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2022–2025
Daihatsu,move,Petrol,hatchback,4,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2019
Daihatsu,move custom,Petrol,hatchback,4,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2023
Daihatsu,move l,Petrol,hatchback,4,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2023
Daihatsu,move l grade,Petrol,hatchback,4,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2023
Daihatsu,move x,Petrol,hatchback,4,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2023
Daihatsu,rocky,Hybrid,suv,5,185,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"2022,2025"
Daihatsu,rocky,Petrol,suv,5,185,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2023
Daihatsu,rocky e-smart,Hybrid,suv,5,185,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2023
Daihatsu,rocky g,Petrol,suv,5,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2023
Daihatsu,rocky g hev,Hybrid,suv,5,185,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2023–2025
Daihatsu,taft,Petrol,suv,5,190,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"2023,2025"
Daihatsu,taft,Petrol,suv,5,192,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2024
Daihatsu,taft g,Petrol,suv,5,190,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2023–2025
Daihatsu,taft x,Hybrid,suv,5,190,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2023
Daihatsu,taft x,Petrol,suv,5,190,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2024
Daihatsu,tanto custom x,Petrol,hatchback,4,150,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2023–2024
Daihatsu,terios,Petrol,suv,7,185,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2007
Daihatsu,terios,Petrol,suv,7,190,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2011–2012
Daihatsu,terios premium,Petrol,suv,7,190,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2012
Daihatsu,thor,Petrol,suv,5,145,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2023–2024
Daihatsu,thor custom,Petrol,suv,5,145,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2024
Daihatsu,thor custom g,Petrol,suv,5,145,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"2023,2025"
Daihatsu,thor g grade,Petrol,suv,5,145,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2023
