Manufacturer,Model,Year,Fuel Type,Body Type,Seating Capacity,Ground Clearance (range),Body Type 1 (sedan),Body Type 2 (hatchback),Body Type 3 (suv),Body Type 4 (mpv),Body Type 5 (pickup),Body Type 6 (coupe),Body Type 7 (convertible),Body Type 8 (wagon),Body Type 9 (van),Body Type 10 (crossover),Body Type 11 (kei / microvan),Body Type 12 (roadster),Body Type 13 (other),Body Type 14 (liftback),Body Type 15 (mpv / minivan),City/Urban,Suburban/Normal,Mid Off-Road,Off-Road/Hilly Terrain,Average Price (0-20k km),Average Price (20k-50k km),Average Price (50k-100k km),Average Price (100k+ km)
BMW,528i f-10,2013,Petrol,sedan,5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,17000000.0,,
BMW,530e,2018,Hybrid,sedan,5,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,30000000.0,33000000.0,
BMW,530e g-30,2018,Hybrid,sedan,5,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,33750000.0,,,
BMW,530e g-30,2019,Hybrid,sedan,5,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,31900000.0
BMW,530e m-sport,2017,Hybrid,sedan,5,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,33500000.0,,
BMW,530e m-sport,2018,Hybrid,sedan,5,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,31500000.0,
BMW,530e m-sport,2025,Hybrid,sedan,5,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,62000000.0,,,
BMW,530i m-sport,2017,Petrol,sedan,5,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,39000000.0,
BMW,530i m-sport,2018,Petrol,sedan,5,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,38500000.0,
BMW,535i active 5,2012,Hybrid,sedan,5,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,22000000.0
BMW,725d,2019,Diesel,sedan,5,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,62500000.0,,,
BMW,730ld,2012,Diesel,sedan,5,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,29950000.0,29950000.0,
BMW,740e m-sport,2017,Hybrid,sedan,,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,39000000.0
BMW,740le,2016,Hybrid,sedan,,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,49800000.0,,
BMW,740le,2017,Petrol,sedan,,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,40000000.0,,
