Manufacturer,Model,Year,Condition,Fuel Type,Price
Toyota,Raize Z GRADE 1.2L,2024,,Hybrid,"Rs 16,490,000"
Mazda,Flair XG,2024,,Hybrid,"Rs 8,490,000"
Honda,Vezel Z GRADE,2025,,Hybrid,"Rs 21,790,000"
Suzuki,Spacia xs Custom,2025,,Hybrid,"Rs 11,425,000"
Toyota,Axio G Grade,2015,,Hybrid,"Rs 11,950,000"
Nissan,Dayz Hi way ST Pro pilot,2024,,Hybrid,"Rs 9,275,000"
Honda,Vezel,2016,,Hybrid,"Rs 12,690,000"
Honda,Vezel Z Premium,2025,,Hybrid,"Rs 22,500,000"
Suzuki,Spacia Full Option,2018,,Hybrid,"Rs 7,450,000"
Honda,Fit GP5 L Grade,2014,,Hybrid,"Rs 8,275,000"
Toyota,Axio WXB,2016,,Hybrid,"Rs 13,500,000"
Suzuki,Swift 0KM MZ,2023,,Hybrid,"Rs 14,290,000"
Suzuki,Alto X Limited,2023,,Hybrid,"Rs 7,850,000"
Honda,Vezel H HUNT,2024,,Hybrid,"Rs 19,200,000"
Toyota,Yaris Cross Z Adventure,2023,,Hybrid,"Rs 17,950,000"
Toyota,Axio Corolla G Grade,2025,,Hybrid,"Rs 17,250,000"
Suzuki,Wagon R Smile,2024,,Hybrid,"Rs 8,750,000"
Suzuki,Wagon R FX,2023,,Hybrid,"Rs 8,925,000"
Suzuki,Spacia Custom,2023,,Hybrid,"Rs 10,550,000"
Honda,Vezel Z Grade,2014,,Hybrid,"Rs 9,700,000"
Honda,Vezel X Hunt,2024,,Hybrid,"Rs 20,500,000"
Toyota,Axio G Grade,2016,,Hybrid,"Rs 11,700,000"
Toyota,Raize 1200CC 2,2025,,Hybrid,"Rs 16,100,000"
Suzuki,Spacia CUSTOM XS,2023,,Hybrid,"Rs 10,550,000"
Toyota,Prius,2011,,Hybrid,"Rs 9,975,000"
Daihatsu,Rocky Premium G HEV,2023,,Hybrid,"Rs 14,800,000"
Honda,Vezel eHVE-Z,2023,,Hybrid,"Rs 19,500,000"
Suzuki,Hustler Tough Wild Safety,2025,,Hybrid,"Rs 9,490,000"
Toyota,Axio Fielder G,2014,,Hybrid,"Rs 9,525,000"
Mercedes Benz,S500,2016,,Hybrid,"Rs 63,500,000"
Suzuki,Spacia CUSTOM XS B/N,2024,,Hybrid,"Rs 10,800,000"
Honda,Vezel Z PLAY B/NEW,2025,,Hybrid,"Rs 22,500,000"
Suzuki,Wagon R FX Safety,2023,,Hybrid,"Rs 8,275,000"
Honda,Vezel Z PREMIUM B/NEW,2025,,Hybrid,"Rs 20,900,000"
Nissan,X-Trail Modepremier Autech,2017,,Hybrid,"Rs 16,500,000"
Toyota,Yaris CROSS Z PREMIUM B/N,2025,,Hybrid,"Rs 19,000,000"
Suzuki,Wagon R FZ Safety,2018,,Hybrid,"Rs 7,200,000"
Suzuki,Spacia XS Custom,2025,,Hybrid,"Rs 11,675,000"
Suzuki,Alto X Grade,2024,,Hybrid,"Rs 8,090,000"
Toyota,Aqua G,2012,,Hybrid,"Rs 7,950,000"
Suzuki,Hustler Tough Wild,2024,,Hybrid,"Rs 9,375,000"
Toyota,Yaris Cross Z Parking,2025,,Hybrid,"Rs 17,795,000"
Toyota,Yaris Cros GR Parking,2024,,Hybrid,"Rs 17,995,000"
Toyota,Prius G Sport,2013,,Hybrid,"Rs 12,700,000"
Suzuki,Swift Rs,2017,,Hybrid,"Rs 8,600,000"
Toyota,Raize Z GRADE,2022,,Hybrid,"Rs 14,800,000"
Honda,Vezel Z PREMIUM,2024,,Hybrid,"Rs 19,800,000"
Suzuki,XBee MZ LEATHER PACKAGE,2025,,Hybrid,"Rs 12,190,000"
Honda,Vezel 2014 (Z Grade),,,Hybrid,"Rs 9,790,000"
