Manufacturer,Model,Year,Condition,Fuel Type,Price
DFSK,Glory 580,2021,,Petrol,"Rs 9,400,000"
Honda,Civic SR,2018,,Petrol,"Rs 14,000,000"
Suzuki,Alto,2011,,Petrol,"Rs 3,700,000"
Suzuki,Wagon R FX Safety,2024,,Petrol,"Rs 7,200,000"
Toyota,Taisor Urban Cruiser,2025,,Petrol,"Rs 12,650,000"
Toyota,Corolla DX wagon,1984,,Petrol,"Rs 2,150,000"
Mercedes Benz,C350 e,2016,,Petrol,"Rs 21,000,000"
Audi,A6 TFSI F/Loaded,2007,,Petrol,"Rs 9,275,000"
Toyota,Vitz KSP-90,2010,,Petrol,"Rs 6,000,000"
Toyota,Premio 260 G SUPERIOR CBK,2020,,Petrol,"Rs 17,750,000"
Hyundai,Venue,2019,,Petrol,"Rs 9,500,000"
Daihatsu,Mira L Grade,2025,,Petrol,"Rs 6,600,000"
Suzuki,Spacia XS CUSTOM G,2023,,Petrol,"Rs 9,450,000"
Suzuki,Alto,2016,,Petrol,"Rs 3,850,000"
Toyota,Roomy Custom Gt,2022,,Petrol,"Rs 11,250,000"
Toyota,Land Cruiser Prado TX-L,2014,,Petrol,"Rs 37,500,000"
Honda,Vezel 2014 X Grade,,,Petrol,"Rs 9,800,000"
Toyota,Axio,2009,,Petrol,"Rs 7,950,000"
Suzuki,Celerio Vxi,2014,,Petrol,"Rs 5,375,000"
Toyota,CHR GT,2018,,Petrol,"Rs 13,650,000"
Suzuki,Alto,2005,,Petrol,"Rs 2,500,000"
Audi,Q2,2018,,Petrol,"Rs 15,850,000"
Nissan,Sunny Fb12,1988,,Petrol,"Rs 1,500,000"
Suzuki,Spacia Custom,2024,,Petrol,"Rs 10,850,000"
Suzuki,Alto L Grade,2023,,Petrol,"Rs 7,075,000"
Toyota,Passo PUSH START,2023,,Petrol,"Rs 8,975,000"
Nissan,Juke,2020,,Petrol,"Rs 14,500,000"
Honda,Civic Tech Pack,2019,,Petrol,"Rs 13,700,000"
Mitsubishi,Montero V6 1st,2005,,Petrol,"Rs 13,900,000"
Toyota,Harrier Elegance,2017,,Petrol,"Rs 23,290,000"
